Text	Orginalna ocena	Oceniona przez nas	Czy zgadza sie z orginalną oceną
@anonymized_account A ja obstawiam, że pójdą bardziej w stronę tego, że może się powtórzyć sytuacja z Meresińskim.	0	0	TRUE
Aaaaa Kuba mi odpisał hehehehehe	0	0	TRUE
Asysta Kacpra Falona i 3:1 dla Widzewa. Witamy Widzew w II lidze. No i w sumie fajnie.	0	0	TRUE
@anonymized_account gwizdali na niego ? Bo nie oglądałem meczu :)	0	0	TRUE
@anonymized_account @anonymized_account ale może w końcu dojdzie do wniosku że skoro go klub już nie jara to lepiej go sprzedać i mieć po kłopocie	0	0	TRUE
@anonymized_account @anonymized_account Hej halo, o czym to jest bo mam na swojej liście i nie wiem czy warto??	0	0	TRUE
dorosłe życie nie jest dla mnie	0	0	TRUE
RT @anonymized_account dorosłe życie nie jest dla mnie	0	0	TRUE
@anonymized_account Cześć Paderewski, część opalające się nogi	0	0	TRUE
@anonymized_account @anonymized_account @anonymized_account Uprowadź gumową kaczuszkę. Zacznie negocjować.	0	0	TRUE
@anonymized_account Już wiem ze się nie dogadamy XD	0	0	TRUE
@anonymized_account Ale to w nowym przekładzie, jeszcze nie czytałam.	0	0	TRUE
@anonymized_account Lahoza mi nigdy nie szkoda. Wolę, jak na pierwszym planie są piłkarze, a nie sędzia :-)	0	0	TRUE
@anonymized_account @anonymized_account Sprawdź chłopie w słowniku co oznacza słowo , którego używasz a potem się odzywaj.	0	0	TRUE
@anonymized_account zmieńcie se nazwe na profilu na insta bo się nazywacie Grzegorz Ożóg...	0	0	TRUE
#Woronicza 17 poseł Halicki oburzony za Bolka.Naprawdè taki tępy czy tylko udaje idiotę?	1	1	TRUE
„Ta aktorka ma 20 lat?!?! Jaka stara!!” \n\nChyba musimy się już do grobu pakować roczniku 98 😂👌🏻	0	0	TRUE
RT @anonymized_account „Ta aktorka ma 20 lat?!?! Jaka stara!!” \n\nChyba musimy się już do grobu pakować roczniku 98 😂👌🏻	0	0	TRUE
Ahnherr der Schtwätzer wykonawcy Von Spar\nhttps://t.co/SOtenSqIr0	0	0	TRUE
@anonymized_account @anonymized_account @anonymized_account Bierze cie cie pod chuj a ty sie produkujesz	0	0	TRUE
@anonymized_account @anonymized_account @anonymized_account Jak narazie to masz przywidzenia co nie zmienia faktu że cały czas jesteś idiotą.	1	1	TRUE
@anonymized_account Kiedy do licznika dojdą bilety z fan clubow?	0	0	TRUE
@anonymized_account A kto prowadzi zespół ? Będzie podany skład z tego meczu ?	0	0	TRUE
@anonymized_account Główny powód to brak kasy, trzeba dać bogatym 500+,300+ i być bez godności i honoru	0	0	TRUE
Zrobiłam takie Cv że ohohohoho	0	0	TRUE
Świętować uchwalenie Konstytucji 3 maja i łamać Konstytucję RP obecnie obowiązującą?!\n#3Maja - dzień hipokryzji.	0	0	TRUE
RT @anonymized_account Świętować uchwalenie Konstytucji 3 maja i łamać Konstytucję RP obecnie obowiązującą?!\n#3Maja - dzień hipokryzji.	0	0	TRUE
@anonymized_account @anonymized_account nie gra bo jest Jovanović i Guilherme	0	0	TRUE
@anonymized_account O tej godz. sporty szanuj ciało	0	0	TRUE
Nikt nigdy nie rozsiewał takiego smrodu jak @anonymized_account	1	1	TRUE
Nikt cię tak dobrze nie ubierze jak matka chrzestna dziecino	0	0	TRUE
@anonymized_account @anonymized_account Nikt tutaj nie chce plagiaciarzy kopiujących brytyjskich pisarzy.	0	0	TRUE
@anonymized_account A ksiądz co bierze 12 tyś za spowiedź przez tel?	0	0	TRUE
@anonymized_account Koń też ma dużą głowę. Tylko wydaje mi się, że jest bardziej inteligentny niż Karczewski	0	1	FALSE
@anonymized_account Pod i górę  pod wiatr to więcej niż k2	0	0	TRUE
@anonymized_account Sędziowie VAR nie decydują o karnych 😉	0	0	TRUE
"Jakiś program na TVN, nauka jazdy za kierownicą babcia śpiewa \""jadą jadą jadą świry jadą\"" jadą jadą jadą świry jadą\"""	0	0	TRUE
@anonymized_account ta obecna Zary Larsson czy Pitbulla z ostatnich MŚ nie były złe :)	0	0	TRUE
(280 znaków w jednym zdaniu 🙈)	0	0	TRUE
@anonymized_account po wahaniach wagi Kwacha wznoszę że to może być kapuścianka	0	0	TRUE
@anonymized_account @anonymized_account w tym sezonie razem z pucharem 12 meczy i 1 gol.Mójta więcej strzelił.Sorry patrze w statystyki.	0	0	TRUE
@anonymized_account @anonymized_account @anonymized_account finały tblk były przyzwoicie sędziowane ?! Aha...	0	0	TRUE
@anonymized_account Taki miałam właśnie, teraz kupiłam z catrice	0	0	TRUE
@anonymized_account to ich wymień.W czym problem ?	0	0	TRUE
@anonymized_account @anonymized_account @anonymized_account a ja mam ciepełko jak się przytule do swoich kotów :)	0	0	TRUE
@anonymized_account Właśnie. Ilu! Najpierw odpowiedzmy sobie ma to pytanie,a potem dziwmy się zwycięstwu Zdanowskiej	0	0	TRUE
@anonymized_account W jego przypadku statystyka przebiegniętych kilometrów nie ma znaczenia. Czy gra zajebiście, czy fatalnie, biega tyle samo.	0	0	TRUE
@anonymized_account @anonymized_account 100%, Mann też miał pełne prawo	0	0	TRUE
@anonymized_account Kończyłeś już kilka razy 😂	0	0	TRUE
@anonymized_account Dzisiaj zajmujemy się WARiatem Krystyną ciekawe czy będzie płakał?	0	0	TRUE
@anonymized_account @anonymized_account @anonymized_account @anonymized_account A co będzie jak Kuba nigdy niewroci?	0	0	TRUE
@anonymized_account Tym w sejmie też? Banda hipokrytów i złodziei.	0	0	TRUE
W każdej z czterech grup będzie walka o zwycięstwo premiowane awansem do CLJ. Bardzo potrzebne rozwiązanie, brawo.	0	0	TRUE
@anonymized_account Tak się poznałam z moim chłopakiem 😂 czasami warto	0	0	TRUE
@anonymized_account nelly furtado a tytuł forco czy cos takiego	0	0	TRUE
@anonymized_account Mów prawdę, kto was skrzywdził	0	0	TRUE
@anonymized_account jestem tu od 2013 xd	0	0	TRUE
@anonymized_account Ta kadra to rocznik 2002	0	0	TRUE
Posiada sensor CGM , ciągły monitoring glikemii, w końcu.	0	0	TRUE
Jeszcze żaden Polak nie wystąpił w meczu gwiazd NBA, nie licząc Mietka Paciaciaka ;) Pomóżmy Marcinowi Gortatowi być 1 @anonymized_account #NBAVOTE	0	0	TRUE
RT @anonymized_account Jeszcze żaden Polak nie wystąpił w meczu gwiazd NBA, nie licząc Mietka Paciaciaka ;) Pomóżmy Marcinowi Gortatowi być 1…	0	0	TRUE
@anonymized_account No kurwa myślałem że na Podlasiu	0	0	TRUE
@anonymized_account @anonymized_account Tak, to nawet lepsze rozwiązanie.	0	0	TRUE
@anonymized_account @anonymized_account Koń by się uśmiał, TVN24 i TVN wolne media? Bardziej perfidnego łgarstwa nie słyszałem.. 🤔	0	0	TRUE
RT @anonymized_account @anonymized_account @anonymized_account Koń by się uśmiał, TVN24 i TVN wolne media? Bardziej perfidnego łgarstwa nie słyszałem.. 🤔	0	0	TRUE
@anonymized_account Gdzie ja wtedy byłam? ;-)	0	0	TRUE
@anonymized_account @anonymized_account @anonymized_account Midze sie nudziło i se coś na kolanie napisał i macie sensacje	0	0	TRUE
@anonymized_account Dzisiaj wrócił do treningów, czyli zdążyli 😉	0	0	TRUE
@anonymized_account @anonymized_account @anonymized_account @anonymized_account Nie wiem, zerknij na 90minut	0	0	TRUE
@anonymized_account @anonymized_account Z motłochem nie dyskutuję tylko daje bany. A Pani @anonymized_account gratuluję obrońcy.	0	0	TRUE
@anonymized_account możesz też zawsze po prostu zapytać kiedy się urodziłam. Albo wpisać hasztag #100latKasiaPawlak ;-)	0	0	TRUE
@anonymized_account ale z kategoriami moim zdaniem przesadzają.Sponsor roku, serce, impreza ? Bez jaj	0	0	TRUE
@anonymized_account Prezes się cieszy ze Wisla odpadła bo w razie finału Legia-Wisla znów by musiał finał odwoływać	0	0	TRUE
Bratowa wysłała mi zdjęcie bratanicy z rozpoczęcia roku, idzie do pierwszej klasy, biedactwo nie wie co ją czeka	0	0	TRUE
@anonymized_account szybkie pytanie do @anonymized_account Ręka Sadloka była zagraniem umyślnym ?	0	0	TRUE
@anonymized_account Dzień w którym Abidal sprzedał i kupił A.Vidala 😉	0	0	TRUE
@anonymized_account Równie dobrze można gola stracić :)	0	0	TRUE
@anonymized_account Chorwaci przerżną w końcówce dogrywki, wiadomo.	0	0	TRUE
@anonymized_account Nasze dzieci będą zdegustwani, był taki PiS, taki @anonymized_account , historia populizmu i głupoty w latach 2015-2019, margines	0	0	TRUE
"@anonymized_account O, myślałam, że nikt już nie używa \""mnie\"" tylko \""mi\""."	0	0	TRUE
@anonymized_account @anonymized_account @anonymized_account Na nowym stadionie West Hamu też to widziałem.	0	0	TRUE
@anonymized_account @anonymized_account zawodnik w sezonie może grać w barwach dwóch klubów więc jeszcze nic straconego :)	0	0	TRUE
ciekawe czy faktycznie jest taki zakład bo jeśli tak to nieźle XD	0	0	TRUE
@anonymized_account Hehe, do gazu, hehe jeszcze jakieś emotikony wrzuć	1	1	TRUE
Qrwa!! I niech mi nikt nie mówi, że czary to jakiś zabobon!! Chłopaki mają sztywne nogi!	0	0	TRUE
Od 01.10.2018 każde sprawozdanie finansowe w formie elektronicznej, zgodne ze strukturą jpk	0	0	TRUE
Na TVP Kraków padła właśnie informacja że rozmowy z potencjalnym kupcem Wisły przełożony z dziś na jutro.	0	0	TRUE
RT @anonymized_account Na TVP Kraków padła właśnie informacja że rozmowy z potencjalnym kupcem Wisły przełożony z dziś na jutro.	0	0	TRUE
@anonymized_account NIECH JESZCZE DADZĄ LEKTORA I NA GŁÓWNA POSTAĆ MÓWIĄ NADZIEJA	0	0	TRUE
RT @anonymized_account @anonymized_account NIECH JESZCZE DADZĄ LEKTORA I NA GŁÓWNA POSTAĆ MÓWIĄ NADZIEJA	0	0	TRUE
@anonymized_account Nie no ludzie, żeby robić artykuł na temat jednego tweeta ?...	0	0	TRUE
@anonymized_account Jak powiem, że pierwsze słysze, to będzie kompromitacja czy nie? 😄	0	0	TRUE
@anonymized_account Usuń konto, wytrzeźwiej buduj od nowa	0	1	FALSE
@anonymized_account @anonymized_account @anonymized_account Sekta, cha, cha, cha, obudź się z hipnozy, jesteś bolszewikiem	1	1	TRUE
Nie wstanę kurde nie ma opcji	0	0	TRUE
@anonymized_account @anonymized_account Spokojnie, u mnie też Kaczarawa na kapitanie + Cvijanović :)	0	0	TRUE
niech ładny chłopiec z kręconymi włosami do mnie napisze: jutro, zaraz, teraz	0	0	TRUE
RT @anonymized_account niech ładny chłopiec z kręconymi włosami do mnie napisze: jutro, zaraz, teraz	0	0	TRUE
@anonymized_account im ktoś gorzej widzi, dłużej musi czekać, choć ten, który widzi lepiej, dłużej poradzi sobie bez okularów. 😨	0	0	TRUE
@anonymized_account Oj, no to powodzenia! Co tam będziesz musiała robić? 🤭	0	0	TRUE
@anonymized_account @anonymized_account @anonymized_account @anonymized_account Chyba nie, Marcin mówił coś o '89.	0	0	TRUE
@anonymized_account Przeczytaj mojego kolejnego twitta to zobaczysz, że nie umknęło i co sądze o poziomie tego meczu.	0	0	TRUE
@anonymized_account Tylko nie w dupę, to dla niektórych z nich byłaby przyjemność.	0	0	TRUE
@anonymized_account @anonymized_account Widać chcą wiecej polskich mord gotujacych koninę	0	0	TRUE
@anonymized_account No to jak się przegrywa cały czas to lepiej przestać grać :)	0	0	TRUE
@anonymized_account @anonymized_account @anonymized_account Widzę, że sami się znajdują.	0	0	TRUE
@anonymized_account Napewno mam niezaktualizowanego może dlatego	0	0	TRUE
@anonymized_account @anonymized_account Smokowski mówił że Wisła ma piłkarzy 3 sortu, a Wieszczycki deprecjonował dobrą prace Kiko	0	0	TRUE
więc zaczynam oglądać Do wszystkich chłopców, których kochałam bo wszyscy o tym mówią i aż chcę to sprawdzić	0	0	TRUE
@anonymized_account Ban,ban i jeszcze raz ban! Co za prymitywne dno!	0	1	FALSE
@anonymized_account @anonymized_account Jasne, bo debile oglądający tvpis płaczą tylko na m jak miłość	1	1	TRUE
@anonymized_account @anonymized_account @anonymized_account W stop klatkach widać ze jak by to było po stronie drugiej (legi) to karny by był	0	0	TRUE
Zdrady stanu to Donald Tusk dopuścił się już w 2010 r kiedy dodał Rosjanom śledztwo w sprawie katastrofy smoleńskiej.	1	0	FALSE
@anonymized_account Na marginesie jestem córką biskupa	0	0	TRUE
@anonymized_account Przejdzie historii: jak tworzyć kłamstwo w dobie powszechnego dostępu do informacji	0	0	TRUE
@anonymized_account Od ok 8 lat używam kolejnych modeli HTC i nigdy mnie nie zawiodły.	0	0	TRUE
@anonymized_account @anonymized_account Ty się oszuście i kłamco od nas odpierdol. My sobie damy radę bez twoich kłamstw	1	1	TRUE
@anonymized_account @anonymized_account @anonymized_account odważne słowa jak na legioniste! 😂😂😂	0	0	TRUE
@anonymized_account @anonymized_account Załatwi to jedno głosowanie w sejmie i żadne demonstracje nie będą miały na to wpływu.	0	0	TRUE
@anonymized_account @anonymized_account @anonymized_account Krzyż celtycki w Irlandii debilu ma kompletnie inne znaczenie niż u neofaszystów.	0	1	FALSE
@anonymized_account Coś w tym jest,bo ja też😁😁😁. I jeszcze bym dodał Dominisię W. której infantylizm mnie totalnie osłabia.	0	0	TRUE
@anonymized_account @anonymized_account Gdzie oni znajdują takich dupków	0	1	FALSE
mój stres zaczął się stresować swoim własnym stresem, które również się stresuje ja pierdole dość	0	0	TRUE
RT @anonymized_account mój stres zaczął się stresować swoim własnym stresem, które również się stresuje ja pierdole dość	0	0	TRUE
@anonymized_account @anonymized_account @anonymized_account @anonymized_account @anonymized_account dojdzie Brlek, Stilić wróci do formy, obcokrajowcy się zaaklimatyzują i bedzie dobrze💪	0	0	TRUE
@anonymized_account @anonymized_account @anonymized_account Brawo grzechu za Twój powrót do żywych\n W Rosji pokaż swoją moc	0	0	TRUE
@anonymized_account @anonymized_account @anonymized_account @anonymized_account Wonder!! Chyba cię....😁😁😁😁😁.No dobra. Na jaki?😁😁😁	0	0	TRUE
@anonymized_account Ja mam uczulenie na dobrą zmianę, ale to dłuższa historiac	0	0	TRUE
@anonymized_account Różnicy nie ma, bo pisali wtedy, że nie można zsyłać zawodników do rezerw ;P	0	0	TRUE
@anonymized_account Żal ci biedaku??? Gdyby nie Kaczyński to by je twoi przyjaciele z PO rozkradl	1	1	TRUE
RT @anonymized_account @anonymized_account Żal ci biedaku??? Gdyby nie Kaczyński to by je twoi przyjaciele z PO rozkradl	1	1	TRUE
Dobry dzień na przypomnienie sobie genezy gwiazdek na fladze #UE #deklaracjaRzymska	0	0	TRUE
Sekta kurwa, jakaś niepojęta radość, każde konto pisdzielskie tylko o jednym	1	1	TRUE
@anonymized_account @anonymized_account Nie wierzę, bez zaświadczenia od proboszcza?	0	0	TRUE
@anonymized_account I chyba wtedy byś niezaprzeczyla?	0	0	TRUE
@anonymized_account Tak naprawdę czy będziemy w spadkowej czy mistrzowskiej to i tak czekają nas sparingi.	0	0	TRUE
@anonymized_account Jebać, jebać, nic się nie bać.	1	1	TRUE
@anonymized_account Jakiej pracy, ty już pajacu nie wiesz na czym się lansować. Sejm nie pracuje.	1	1	TRUE
Kilogramy rozmnażają się przez pączkowanie 😣😖\n#TłustyCzwartek	0	0	TRUE
@anonymized_account @anonymized_account Nie działają i lepiej działać szybko bo klienci nie maja dostępu do środków na kontach	0	0	TRUE
@anonymized_account @anonymized_account @anonymized_account jutro walczycie ? Normalnie rycerze ! A gdzie byliście wcześniej ? A zapomniałem że nie o L chodziło	0	0	TRUE
@anonymized_account Ale to głupie, rdzennie głupie, bardziej głupie już być nie może	0	0	TRUE
@anonymized_account Szczególnie Vestenicky.Podczas wypożyczenia nic nie pokazał a go wykupili za 500 tys euro 😂👏	0	0	TRUE
@anonymized_account Już się boję. Postraszy mnie Pan kolegami narodowcami?	0	0	TRUE
@anonymized_account Co nie było blisko? Bo nie rozumiem.	0	0	TRUE
@anonymized_account @anonymized_account A od kiedy komentatorzy na Sky to wyrocznia?	0	0	TRUE
@anonymized_account @anonymized_account Nazwisko tego babska😁😁😁😁. Bo Wczoraj był na MO😁😁😀	0	0	TRUE
@anonymized_account Zbiera się do kontrataku, dla swojego pryncypala pójdzie w bój, patrityczna dusza,  co nie @anonymized_account ?	0	0	TRUE
@anonymized_account a w kolejnych fajnie jakby grał na lewej za Sadloka @anonymized_account	0	0	TRUE
@anonymized_account byłem w pracy ale zaraz odpalam meczyk na yt.Dzięki za walke !!!!:)	0	0	TRUE
@anonymized_account @anonymized_account jakie 0 motywacji ? Jest chyba różnica mieć medal albo go niemieć	0	0	TRUE
@anonymized_account Niby nie macie czy niby nie mit? 😂😂	0	0	TRUE
@anonymized_account Ja bym był ostrożny😁😁😁A jak ma na imię?	0	0	TRUE
@anonymized_account @anonymized_account @anonymized_account Tak to jest jak ktoś nie wie do którego lekarza iść najpierw.	0	0	TRUE
@anonymized_account @anonymized_account No nie dziwie się w sumie. Dobrze, że tylko raz dzwonił	0	0	TRUE
@anonymized_account @anonymized_account Wasz świat? To się w nim zamknijcie i nie wystawiajcie nosa.	0	0	TRUE
@anonymized_account @anonymized_account Przyjaciół to niech on sobie szuka za swoje prywatne pieniądze. I niech robi z siebie idiotę na własny rachunek.	0	0	TRUE
imagine sie komus podobac??? ze ktos sie stara o TWOJA uwage??? can’t relate	0	0	TRUE
RT @anonymized_account imagine sie komus podobac??? ze ktos sie stara o TWOJA uwage??? can’t relate	0	0	TRUE
@anonymized_account @anonymized_account @anonymized_account a Portugalia jak zagrała ?	0	0	TRUE
"Pierwsze zdanie: \""Paczka papierosów kosztuje 4 miliardy marek\"".\n#JajoWęża teraz na @anonymized_account"	0	0	TRUE
@anonymized_account @anonymized_account No to tym bardziej :)	0	0	TRUE
@anonymized_account Ja przynajmniej mam profilowe i nie chowam się za awatarem. Ale bohaterów MW na to nie stać i w sumie nic w tym dziwnego.	0	0	TRUE
@anonymized_account Czego się spodziewać po członku żydowskiego amerykańskiego lobby. Lata na kolanach przed żydami zrobiło swoje.	1	1	TRUE
RT @anonymized_account @anonymized_account Czego się spodziewać po członku żydowskiego amerykańskiego lobby. Lata na kolanach przed żydami zrobiło swoj…	1	1	TRUE
@anonymized_account Co ty człowieku pijesz z rana?	0	1	FALSE
@anonymized_account @anonymized_account pewnie narządy też wkrótce sprzeda :D	0	0	TRUE
@anonymized_account w zeszłym sezonie to samo pisałeś ?	0	0	TRUE
Picie to przyszłość, piękna i nieznana, szukajcie zapomnienia, próbujcie różnych trunków, łączcie środki psychoaktywne, powodzenia	1	0	FALSE
@anonymized_account Ale ty jesteś żenujący. Dno metr mułu.	1	1	TRUE
@anonymized_account spoko, nigdy nie daje unfollow aktywnym ludziom, tylko tym, którzy nie piszą nic od miesięcy albo dali mi unfollow	0	0	TRUE
"\""- Co to jest tajmlajn na fejsie?\n- Zmarszczki\""."	0	0	TRUE
@anonymized_account może trzeba chłopaków na crossfit zabierać ?:)	0	0	TRUE
@anonymized_account znacznie bliżej jest mi muzułmanin  czy indus, niż katolicka, łysa swołocz ze wschodu europy, do tego rasistowska	1	1	TRUE
Dzisiaj o 18.00 Strefa Kibica w Radiu Akadera. Zapraszamy.	0	0	TRUE
@anonymized_account Nie powinno być źle o ile się utrzymamy :P	0	0	TRUE
@anonymized_account Spokojnie trzeba ta porażkę wziąść na klatę mecz się tak ułożył nie inaczej napewno gorsi dużo my niebyli.	0	0	TRUE
@anonymized_account Ale się cieszą. Wreszcie koniec i będzie można wypić te.zapasy z plecaka.	0	0	TRUE
@anonymized_account @anonymized_account Ofertę przedłużenis kontraktu ponoć dostał od Wisły, ale jej nie zaakceptował.	0	0	TRUE
Dziś o godz. 20:00 Prezydent RP wygłosi orędzie.	0	0	TRUE
RT @anonymized_account Dziś o godz. 20:00 Prezydent RP wygłosi orędzie.	0	0	TRUE
@anonymized_account myślałem że się przychodzi na stadion dla drużyny a nie na poszczególnych piłkarzy	0	0	TRUE
@anonymized_account kibicom chodzi raczej o postawe dziennikarzy a nie klubu.	0	0	TRUE
@anonymized_account @anonymized_account Nie trzeba Algierczyków, wystarczy kilku polskich katechetów.	0	0	TRUE
@anonymized_account Barcelona z Messim (ta obecna) by taki mecz wygrała 1:0, albo jakiś Suarez by coś wcisnął :P	0	0	TRUE
@anonymized_account @anonymized_account TW Wolfgang, TW Faraon i TW Rycerz,TW Balbina, TW Michał \nKto mieczem wojuje, ten od pochwy ginie	0	0	TRUE
@anonymized_account @anonymized_account Zgadza się ale przecież nas niestac żeby komin płacowy zacząć od.carlitosa	0	0	TRUE
@anonymized_account @anonymized_account @anonymized_account Low kick, kolano łokieć, blacha na czoło i stara leży	1	0	FALSE
@anonymized_account Niestety obrazki będą też zielone, czarne i brunatne.	0	0	TRUE
Ktoś założył fejkowe konto i ogląda WSZYSTKIE moje story	0	0	TRUE
@anonymized_account @anonymized_account Życie, zdarza się. Jednak od takiego rzutu wolnego do gola droga dość daleka.	0	0	TRUE
@anonymized_account a wydanie 500 tys euro gdy się nie ma pieniędzy nie jest strzałem w kolano ?	0	0	TRUE
@anonymized_account Wio endekdu, ścierwa, zdrajcy, szubienica	1	1	TRUE
@anonymized_account nie dziwie się, to było dość cwane :)	0	0	TRUE
@anonymized_account Raczey! Jutro będzie jej odczytywane przez cały dzień ;-)	0	0	TRUE
@anonymized_account Kto będzie pił te mleko, gdzie będą jeździły tiry, meble, okna ty maly kogucie	0	0	TRUE
@anonymized_account @anonymized_account @anonymized_account @anonymized_account Nie myli się tylko ten, co nic nie robi.	0	0	TRUE
Mama będzie mi obcinać włosy boje się	0	0	TRUE
@anonymized_account @anonymized_account @anonymized_account @anonymized_account No to muszą ci nieźle płacić za wierszówki.	0	0	TRUE
@anonymized_account czy masz info jakie obecnie Ondrasek ma zarobki w Wiśle?	0	0	TRUE
@anonymized_account Jaka kwota wykupienia go po roku??	0	0	TRUE
@anonymized_account @anonymized_account @anonymized_account Dla kogo pracował? Nie przy śniadaniu bo się udławić można z wrażenia. Poproszę 5 przykładów zatem.	0	0	TRUE
@anonymized_account @anonymized_account @anonymized_account Widzę, że dalej nie rozumiesz. No nic idę oglądać LM. Pozdro.	0	0	TRUE
@anonymized_account @anonymized_account jeśli masz TV włączony od 8:00 do 1:00, a reklama pojawia się 3 x na godzinę, po 2 mies. jesteś na granicy obłędu.	0	0	TRUE
@anonymized_account @anonymized_account A co o włoskich faszystach i węgierskich nacjonalistach?	0	0	TRUE
@anonymized_account @anonymized_account Dojenie kasy przez rząd\nKompromitacja Morawieckiego w Niemczech\nKaczyński twórca państwa Polskiego w 2016 roku	0	0	TRUE
@anonymized_account Jeszcze w nastepnej kolejce pewnie jakis piątek	0	0	TRUE
@anonymized_account @anonymized_account i oczywiście było pytanie czy nie boi się o przyszłość Wisły 😂 przechodzicie samych siebie	0	0	TRUE
@anonymized_account no ja właśnie to samoXD znaczy wiem ze Emre wbija często, bo jego żona jest polką ale no	0	0	TRUE
@anonymized_account Nic nie mogą. Ale ich brak może spowodować, że strajkujący szybciej się z Sejmu wyniosą.	0	0	TRUE
@anonymized_account @anonymized_account @anonymized_account Przecież jak go zamkną to o czym ty będziesz pisał ? Twoje życie straci sens...	0	0	TRUE
@anonymized_account @anonymized_account To zaraz porobie screeny od momentu od którego jest zablokowane :)	0	0	TRUE
@anonymized_account Ktoś przestał słodzić, ktoś kto dużo słodził	0	0	TRUE
@anonymized_account @anonymized_account @anonymized_account No to po co się zgodził na klauzule dopiero po zakończeniu przyszłego sezonu, a nie od razu ?	0	0	TRUE
@anonymized_account Jest to prawda. Ale MSZ powinien. On pewnie myślał, że jest w Pisowskiej Polsce i wszystkoi wolno.😀😀😀	0	0	TRUE
@anonymized_account delikatnie nie po drodze :D	0	0	TRUE
@anonymized_account @anonymized_account No to 0:0 murowane (bo mam też ludzi z Cracovii)	0	0	TRUE
@anonymized_account Może ogłuszyły go te korki od szampanów, które strzelały po podpisaniu kontraktu Sadloka z Jagiellonią ?	0	0	TRUE
Panie i panowie, totalna porażka @anonymized_account w miastach. \nT O T A L N A \nTo bardzo ważny znak.	0	0	TRUE
RT @anonymized_account Panie i panowie, totalna porażka @anonymized_account w miastach. \nT O T A L N A \nTo bardzo ważny znak.	0	0	TRUE
@anonymized_account @anonymized_account @anonymized_account @anonymized_account ręce opadaj że takich rzeczy ludzie związani z futsalem nie wiedzą.	0	0	TRUE
@anonymized_account @anonymized_account Przeczytałem wszystko. Fantastycznego ma Pani Dziadka!	0	0	TRUE
@anonymized_account Na wszystko masz odpowiedź, żyłeś w tych czasach?	0	0	TRUE
@anonymized_account @anonymized_account Mr. Czarnecki. To nie hipokryzja tylko zwykła ludzka przyzwoitość. Widać że niektórym obce takie  odruchy.	0	0	TRUE
Diego Maradona - Robbie Williams 2:1.	0	0	TRUE
@anonymized_account @anonymized_account @anonymized_account Ja nie byłbym taki pewny	0	0	TRUE
@anonymized_account patrząc kogo biorą to mam wątpliwości czy nie chcą do 1 ligi (nie licząc Marciniaka)	0	0	TRUE
@anonymized_account To było dawno, jeszcze nie znali fotoszopa	0	0	TRUE
@anonymized_account @anonymized_account Maly murzyn, silny i zdrowy	1	0	FALSE
.@anonymized_account pojawił się na TT. To konto to nie fejk. \nDołączajcie :) 💪	0	0	TRUE
